Index,DS,LKMM Prod (ns),User Cons (ns),User Prod (ns),LKMM Cons (ns),E2E (ns),Tput (Mop/s),Relay %
1,MSQueue,135,255,177,349,916,1.09,100
2,MSQueue,132,238,190,292,852,1.17,100
3,MSQueue,131,250,190,364,935,1.07,100
4,MSQueue,157,243,187,346,933,1.07,100
5,MSQueue,183,242,196,334,955,1.05,100
6,MSQueue,129,272,157,366,924,1.08,100
7,MSQueue,127,252,191,356,926,1.08,100
8,MSQueue,141,253,207,304,905,1.10,100
9,MSQueue,169,271,256,359,1055,0.95,100
10,MSQueue,127,263,218,302,910,1.10,100
11,MSQueue,160,245,186,350,941,1.06,100
12,MSQueue,175,237,185,397,994,1.01,100
13,MSQueue,142,247,217,334,940,1.06,100
14,MSQueue,140,241,214,341,936,1.07,100
15,MSQueue,131,234,198,357,920,1.09,100
16,MSQueue,129,230,170,360,889,1.12,100
17,MSQueue,160,234,149,332,875,1.14,100
18,MSQueue,180,228,185,349,942,1.06,100
19,MSQueue,133,232,195,353,913,1.10,100
20,MSQueue,161,208,199,355,923,1.08,100
21,MSQueue,169,237,165,345,916,1.09,100
22,MSQueue,178,245,217,365,1005,1.00,100
23,MSQueue,145,239,243,370,997,1.00,100
24,MSQueue,146,234,182,346,908,1.10,100
25,MSQueue,157,216,185,399,957,1.04,100
26,MSQueue,139,217,190,374,920,1.09,100
27,MSQueue,153,249,175,356,933,1.07,100
28,MSQueue,148,249,159,348,904,1.11,100
29,MSQueue,151,242,197,360,950,1.05,100
30,MSQueue,151,260,209,348,968,1.03,100
31,MSQueue,197,236,181,435,1049,0.95,100
32,MSQueue,152,249,183,305,889,1.12,100
33,MSQueue,116,251,167,366,900,1.11,100
34,MSQueue,167,226,153,387,933,1.07,100
35,MSQueue,127,254,180,352,913,1.10,100
36,MSQueue,117,210,178,372,877,1.14,100
37,MSQueue,173,236,179,325,913,1.10,100
38,MSQueue,187,243,219,333,982,1.02,100
39,MSQueue,145,221,148,310,824,1.21,100
40,MSQueue,129,251,156,332,868,1.15,100
41,MSQueue,164,220,154,367,905,1.10,100
42,MSQueue,157,220,183,373,933,1.07,100
43,MSQueue,132,256,189,304,881,1.14,100
44,MSQueue,166,270,196,372,1004,1.00,100
45,MSQueue,171,241,210,334,956,1.05,100
46,MSQueue,181,225,198,313,917,1.09,100
47,MSQueue,137,259,190,348,934,1.07,100
48,MSQueue,112,226,184,377,899,1.11,100
49,MSQueue,138,233,160,350,881,1.14,100
50,MSQueue,139,224,163,337,863,1.16,100
51,MSQueue,161,207,181,325,874,1.14,100
52,MSQueue,150,231,205,404,990,1.01,100
53,MSQueue,177,263,234,322,996,1.00,100
54,MSQueue,167,219,182,340,908,1.10,100
55,MSQueue,201,211,184,353,949,1.05,100
56,MSQueue,163,218,209,387,977,1.02,100
57,MSQueue,227,242,161,399,1029,0.97,100
58,MSQueue,171,241,201,354,967,1.03,100
59,MSQueue,126,255,203,375,959,1.04,100
60,MSQueue,127,227,212,341,907,1.10,100
61,MSQueue,121,232,155,327,835,1.20,100
62,MSQueue,162,226,148,304,840,1.19,100
63,MSQueue,155,219,187,337,898,1.11,100
64,MSQueue,147,222,185,331,885,1.13,100
65,MSQueue,144,222,152,341,859,1.16,100
66,MSQueue,185,227,189,327,928,1.08,100
67,MSQueue,140,218,181,340,879,1.14,100
68,MSQueue,146,253,172,286,857,1.17,100
69,MSQueue,193,239,185,333,950,1.05,100
70,MSQueue,117,239,176,349,881,1.14,100
71,MSQueue,124,252,187,303,866,1.15,100
72,MSQueue,156,230,148,283,817,1.22,100
73,MSQueue,154,235,178,349,916,1.09,100
74,MSQueue,170,254,185,364,973,1.03,100
75,MSQueue,154,235,297,338,1024,0.98,100
76,MSQueue,165,251,221,330,967,1.03,100
77,MSQueue,125,230,186,330,871,1.15,100
78,MSQueue,159,240,191,330,920,1.09,100
79,MSQueue,130,232,183,323,868,1.15,100
80,MSQueue,160,227,175,326,888,1.13,100
81,MSQueue,163,200,182,417,962,1.04,100
82,MSQueue,184,236,190,380,990,1.01,100
83,MSQueue,153,251,170,304,878,1.14,100
84,MSQueue,181,256,214,328,979,1.02,100
85,MSQueue,214,228,203,403,1048,0.95,100
86,MSQueue,192,231,235,351,1009,0.99,100
87,MSQueue,147,237,195,355,934,1.07,100
88,MSQueue,140,243,173,341,897,1.11,100
89,MSQueue,162,237,179,394,972,1.03,100
90,MSQueue,169,226,192,368,955,1.05,100
91,MSQueue,131,229,193,278,831,1.20,100
92,MSQueue,176,243,202,356,977,1.02,100
93,MSQueue,154,210,169,363,896,1.12,100
94,MSQueue,155,232,191,342,920,1.09,100
95,MSQueue,181,221,182,343,927,1.08,100
96,MSQueue,172,244,214,294,924,1.08,100
97,MSQueue,183,238,209,313,943,1.06,100
