Index,DS,LKMM Prod (ns),User Cons (ns),User Prod (ns),LKMM Cons (ns),E2E (ns),Tput (Mop/s),Relay %
276,Folly SPSC,91,101,108,53,353,2.83,100
277,Folly SPSC,110,92,99,57,358,2.79,100
278,Folly SPSC,94,98,83,56,331,3.02,100
279,Folly SPSC,89,91,74,53,307,3.26,100
280,Folly SPSC,89,99,93,54,335,2.99,100
281,Folly SPSC,102,110,67,64,343,2.92,100
282,Folly SPSC,122,98,63,54,337,2.97,100
283,Folly SPSC,102,96,81,59,338,2.96,100
284,Folly SPSC,103,90,70,69,332,3.01,100
285,Folly SPSC,73,99,82,53,307,3.26,100
286,Folly SPSC,103,102,77,56,338,2.96,100
287,Folly SPSC,95,100,71,58,324,3.09,100
288,Folly SPSC,89,97,78,56,320,3.12,100
289,Folly SPSC,92,96,86,57,331,3.02,100
290,Folly SPSC,94,100,87,55,336,2.98,100
291,Folly SPSC,151,102,78,54,385,2.60,100
292,Folly SPSC,99,98,106,50,353,2.83,100
293,Folly SPSC,100,97,76,50,323,3.10,100
294,Folly SPSC,196,92,90,74,452,2.21,100
295,Folly SPSC,92,100,76,53,321,3.12,100
296,Folly SPSC,101,103,80,54,338,2.96,100
297,Folly SPSC,101,98,74,55,328,3.05,100
298,Folly SPSC,102,111,99,54,366,2.73,100
299,Folly SPSC,114,97,82,52,345,2.90,100
300,Folly SPSC,121,102,65,62,350,2.86,100
301,CK FIFO SPSC,133,106,116,44,399,2.51,100
302,CK FIFO SPSC,139,122,129,53,443,2.26,100
303,CK FIFO SPSC,114,110,85,59,368,2.72,100
304,CK FIFO SPSC,57,107,117,53,334,2.99,100
305,CK FIFO SPSC,57,100,109,52,318,3.14,100
306,CK FIFO SPSC,77,101,113,53,344,2.91,100
307,CK FIFO SPSC,120,98,126,50,394,2.54,100
308,CK FIFO SPSC,75,107,102,53,337,2.97,100
309,CK FIFO SPSC,106,97,151,54,408,2.45,100
310,CK FIFO SPSC,75,104,119,50,348,2.87,100
311,CK FIFO SPSC,66,100,80,50,296,3.38,100
312,CK FIFO SPSC,55,103,113,42,313,3.19,100
313,CK FIFO SPSC,108,100,110,44,362,2.76,100
314,CK FIFO SPSC,77,99,122,52,350,2.86,100
315,CK FIFO SPSC,121,96,105,53,375,2.67,100
316,CK FIFO SPSC,94,105,121,55,375,2.67,100
317,CK FIFO SPSC,150,91,141,41,423,2.36,100
318,CK FIFO SPSC,63,99,103,54,319,3.13,100
319,CK FIFO SPSC,69,98,101,49,317,3.15,100
320,CK FIFO SPSC,57,100,152,67,376,2.66,100
321,CK FIFO SPSC,61,104,119,51,335,2.99,100
322,CK FIFO SPSC,58,95,100,49,302,3.31,100
323,CK FIFO SPSC,68,102,111,51,332,3.01,100
324,CK FIFO SPSC,79,98,100,53,330,3.03,100
325,CK FIFO SPSC,61,100,97,44,302,3.31,100
326,CK FIFO SPSC,69,117,125,43,354,2.82,100
327,CK FIFO SPSC,81,101,98,50,330,3.03,100
328,CK FIFO SPSC,76,105,117,51,349,2.87,100
329,CK FIFO SPSC,150,101,189,71,511,1.96,100
330,CK FIFO SPSC,54,100,120,54,328,3.05,100
331,CK FIFO SPSC,56,101,121,50,328,3.05,100
332,CK FIFO SPSC,80,119,114,53,366,2.73,100
333,CK FIFO SPSC,71,104,100,51,326,3.07,100
334,CK FIFO SPSC,120,96,118,52,386,2.59,100
335,CK FIFO SPSC,85,101,155,51,392,2.55,100
336,CK FIFO SPSC,77,102,109,50,338,2.96,100
337,CK FIFO SPSC,69,108,93,49,319,3.13,100
338,CK FIFO SPSC,77,106,101,50,334,2.99,100
339,CK FIFO SPSC,111,97,95,42,345,2.90,100
340,CK FIFO SPSC,72,108,119,52,351,2.85,100
341,CK FIFO SPSC,129,101,97,53,380,2.63,100
342,CK FIFO SPSC,112,102,136,52,402,2.49,100
343,CK FIFO SPSC,64,108,106,45,323,3.10,100
344,CK FIFO SPSC,84,104,108,52,348,2.87,100
345,CK FIFO SPSC,123,103,97,45,368,2.72,100
346,CK FIFO SPSC,110,100,121,51,382,2.62,100
347,CK FIFO SPSC,85,107,112,51,355,2.82,100
348,CK FIFO SPSC,78,124,138,42,382,2.62,100
349,CK FIFO SPSC,113,109,119,51,392,2.55,100
350,CK FIFO SPSC,87,106,105,51,349,2.87,100
351,CK FIFO SPSC,102,99,102,78,381,2.62,100
352,CK FIFO SPSC,112,119,151,52,434,2.30,100
353,CK FIFO SPSC,61,106,109,52,328,3.05,100
354,CK FIFO SPSC,77,96,144,50,367,2.72,100
355,CK FIFO SPSC,100,110,119,46,375,2.67,100
356,CK FIFO SPSC,73,100,103,52,328,3.05,100
357,CK FIFO SPSC,113,103,77,67,360,2.78,100
358,CK FIFO SPSC,67,101,93,50,311,3.22,100
359,CK FIFO SPSC,85,104,98,50,337,2.97,100
360,CK FIFO SPSC,103,101,93,45,342,2.92,100
361,CK FIFO SPSC,114,98,161,52,425,2.35,100
362,CK FIFO SPSC,76,113,95,51,335,2.99,100
363,CK FIFO SPSC,82,98,123,69,372,2.69,100
364,CK FIFO SPSC,76,98,104,51,329,3.04,100
365,CK FIFO SPSC,95,97,122,68,382,2.62,100
366,CK FIFO SPSC,81,106,113,67,367,2.72,100
367,CK FIFO SPSC,130,110,119,52,411,2.43,100
368,CK FIFO SPSC,63,98,108,44,313,3.19,100
369,CK FIFO SPSC,108,105,109,51,373,2.68,100
370,CK FIFO SPSC,120,101,125,67,413,2.42,100
371,CK FIFO SPSC,75,92,166,60,393,2.54,100
372,CK FIFO SPSC,65,112,88,64,329,3.04,100
373,CK FIFO SPSC,70,99,147,50,366,2.73,100
374,CK FIFO SPSC,89,101,133,44,367,2.72,100
375,CK FIFO SPSC,66,103,138,59,366,2.73,100
376,CK FIFO SPSC,90,96,116,51,353,2.83,100
377,CK FIFO SPSC,63,100,115,50,328,3.05,100
378,CK FIFO SPSC,64,103,128,52,347,2.88,100
379,CK FIFO SPSC,141,99,118,52,410,2.44,100
380,CK FIFO SPSC,108,101,130,75,414,2.42,100
381,CK FIFO SPSC,112,100,158,51,421,2.38,100
382,CK FIFO SPSC,52,104,134,44,334,2.99,100
383,CK FIFO SPSC,95,100,92,63,350,2.86,100
384,CK FIFO SPSC,147,106,128,45,426,2.35,100
385,CK FIFO SPSC,119,103,122,51,395,2.53,100
386,CK FIFO SPSC,92,98,121,53,364,2.75,100
387,CK FIFO SPSC,122,96,105,68,391,2.56,100
388,CK FIFO SPSC,87,94,114,50,345,2.90,100
389,CK FIFO SPSC,57,108,110,50,325,3.08,100
390,CK FIFO SPSC,95,104,104,50,353,2.83,100
391,CK FIFO SPSC,105,102,94,66,367,2.72,100
392,CK FIFO SPSC,94,97,172,68,431,2.32,100
393,CK FIFO SPSC,57,97,117,52,323,3.10,100
394,CK FIFO SPSC,76,99,104,49,328,3.05,100
395,CK FIFO SPSC,79,99,109,53,340,2.94,100
396,CK FIFO SPSC,59,103,114,73,349,2.87,100
397,CK FIFO SPSC,68,104,87,43,302,3.31,100
398,CK FIFO SPSC,101,103,141,45,390,2.56,100
399,CK FIFO SPSC,102,100,126,67,395,2.53,100
400,CK FIFO SPSC,110,102,94,53,359,2.79,100
401,CK Ring SPSC,84,123,77,52,336,2.98,100
402,CK Ring SPSC,80,112,72,66,330,3.03,100
403,CK Ring SPSC,120,113,76,48,357,2.80,100
404,CK Ring SPSC,92,119,73,61,345,2.90,100
405,CK Ring SPSC,96,126,105,43,370,2.70,100
406,CK Ring SPSC,83,114,78,60,335,2.99,100
407,CK Ring SPSC,83,112,76,49,320,3.12,100
408,CK Ring SPSC,83,117,98,51,349,2.87,100
409,CK Ring SPSC,104,122,87,51,364,2.75,100
410,CK Ring SPSC,149,119,106,74,448,2.23,100
411,CK Ring SPSC,91,110,86,50,337,2.97,100
412,CK Ring SPSC,135,106,76,68,385,2.60,100
413,CK Ring SPSC,92,117,66,67,342,2.92,100
414,CK Ring SPSC,88,114,66,44,312,3.21,100
415,CK Ring SPSC,91,108,65,49,313,3.19,100
416,CK Ring SPSC,94,1128,74,49,1345,0.74,100
417,CK Ring SPSC,82,119,77,42,320,3.12,100
418,CK Ring SPSC,116,128,85,42,371,2.70,100
419,CK Ring SPSC,119,111,82,52,364,2.75,100
420,CK Ring SPSC,93,110,85,50,338,2.96,100
421,CK Ring SPSC,91,114,90,57,352,2.84,100
422,CK Ring SPSC,114,116,77,60,367,2.72,100
423,CK Ring SPSC,84,111,89,50,334,2.99,100
424,CK Ring SPSC,99,114,73,50,336,2.98,100
425,CK Ring SPSC,82,120,84,65,351,2.85,100
426,CK Ring SPSC,91,115,79,52,337,2.97,100
427,CK Ring SPSC,95,116,78,47,336,2.98,100
428,CK Ring SPSC,82,110,105,44,341,2.93,100
429,CK Ring SPSC,76,114,107,63,360,2.78,100
430,CK Ring SPSC,159,115,77,72,423,2.36,100
431,CK Ring SPSC,87,113,83,46,329,3.04,100
432,CK Ring SPSC,86,113,76,49,324,3.09,100
433,CK Ring SPSC,85,104,82,45,316,3.16,100
434,CK Ring SPSC,179,115,61,66,421,2.38,100
435,CK Ring SPSC,88,131,84,39,342,2.92,100
436,CK Ring SPSC,97,127,121,54,399,2.51,100
437,CK Ring SPSC,95,112,78,51,336,2.98,100
438,CK Ring SPSC,106,109,62,59,336,2.98,100
439,CK Ring SPSC,84,115,76,46,321,3.12,100
440,CK Ring SPSC,117,112,66,57,352,2.84,100
441,CK Ring SPSC,90,114,71,48,323,3.10,100
442,CK Ring SPSC,81,112,78,46,317,3.15,100
443,CK Ring SPSC,114,108,70,50,342,2.92,100
444,CK Ring SPSC,85,127,78,61,351,2.85,100
445,CK Ring SPSC,95,114,88,47,344,2.91,100
446,CK Ring SPSC,85,113,66,46,310,3.23,100
447,CK Ring SPSC,186,104,64,66,420,2.38,100
448,CK Ring SPSC,107,115,80,51,353,2.83,100
449,CK Ring SPSC,82,116,67,49,314,3.18,100
450,CK Ring SPSC,90,107,82,53,332,3.01,100
451,CK Ring SPSC,81,115,77,46,319,3.13,100
452,CK Ring SPSC,87,113,79,52,331,3.02,100
453,CK Ring SPSC,95,107,75,43,320,3.12,100
454,CK Ring SPSC,107,110,81,51,349,2.87,100
455,CK Ring SPSC,92,114,67,52,325,3.08,100
456,CK Ring SPSC,91,111,77,47,326,3.07,100
457,CK Ring SPSC,89,111,77,49,326,3.07,100
458,CK Ring SPSC,109,110,68,52,339,2.95,100
459,CK Ring SPSC,112,117,87,53,369,2.71,100
460,CK Ring SPSC,98,110,74,44,326,3.07,100
461,CK Ring SPSC,90,115,78,52,335,2.99,100
462,CK Ring SPSC,85,117,67,44,313,3.19,100
463,CK Ring SPSC,107,113,79,40,339,2.95,100
464,CK Ring SPSC,106,114,69,50,339,2.95,100
465,CK Ring SPSC,82,133,76,52,343,2.92,100
466,CK Ring SPSC,85,110,64,53,312,3.21,100
467,CK Ring SPSC,84,112,66,51,313,3.19,100
468,CK Ring SPSC,117,111,76,55,359,2.79,100
469,CK Ring SPSC,202,114,66,65,447,2.24,100
470,CK Ring SPSC,86,108,68,46,308,3.25,100
471,CK Ring SPSC,172,111,79,69,431,2.32,100
472,CK Ring SPSC,84,113,75,52,324,3.09,100
473,CK Ring SPSC,112,133,92,46,383,2.61,100
474,CK Ring SPSC,89,107,75,49,320,3.12,100
475,CK Ring SPSC,93,109,70,44,316,3.16,100
476,CK Ring SPSC,122,114,88,44,368,2.72,100
477,CK Ring SPSC,144,113,71,60,388,2.58,100
478,CK Ring SPSC,85,111,57,51,304,3.29,100
479,CK Ring SPSC,114,114,79,45,352,2.84,100
480,CK Ring SPSC,221,121,81,77,500,2.00,100
481,CK Ring SPSC,99,110,70,49,328,3.05,100
482,CK Ring SPSC,90,118,86,64,358,2.79,100
483,CK Ring SPSC,75,110,76,45,306,3.27,100
484,CK Ring SPSC,82,114,86,53,335,2.99,100
485,CK Ring SPSC,86,114,80,65,345,2.90,100
486,CK Ring SPSC,102,119,73,50,344,2.91,100
487,CK Ring SPSC,102,111,84,51,348,2.87,100
488,CK Ring SPSC,100,113,90,48,351,2.85,100
489,CK Ring SPSC,101,119,97,52,369,2.71,100
490,CK Ring SPSC,106,111,95,64,376,2.66,100
491,CK Ring SPSC,93,108,88,52,341,2.93,100
492,CK Ring SPSC,86,125,70,50,331,3.02,100
493,CK Ring SPSC,82,113,77,49,321,3.12,100
494,CK Ring SPSC,81,108,94,52,335,2.99,100
495,CK Ring SPSC,91,109,75,49,324,3.09,100
496,CK Ring SPSC,84,109,70,51,314,3.18,100
497,CK Ring SPSC,89,117,64,51,321,3.12,100
498,CK Ring SPSC,84,113,79,43,319,3.13,100
499,CK Ring SPSC,94,115,94,55,358,2.79,100
500,CK Ring SPSC,91,115,81,49,336,2.98,100
501,CK Stack UPMC,182,127,183,130,622,1.61,100
502,CK Stack UPMC,157,121,142,129,549,1.82,100
503,CK Stack UPMC,144,130,142,127,543,1.84,100
504,CK Stack UPMC,153,135,157,126,571,1.75,100
505,CK Stack UPMC,126,133,154,133,546,1.83,100
506,CK Stack UPMC,154,133,134,126,547,1.83,100
507,CK Stack UPMC,181,119,155,126,581,1.72,100
508,CK Stack UPMC,197,125,130,134,586,1.71,100
509,CK Stack UPMC,174,143,171,124,612,1.63,100
