Index,DS,LKMM Prod (ns),User Cons (ns),User Prod (ns),LKMM Cons (ns),E2E (ns),Tput (Mop/s),Relay %
1,MSQueue,205,234,184,332,955,1.05,100
2,MSQueue,168,239,172,359,938,1.07,100
3,MSQueue,173,235,182,352,942,1.06,100
4,MSQueue,154,256,158,329,897,1.11,100
5,MSQueue,166,251,209,311,937,1.07,100
6,MSQueue,155,231,177,355,918,1.09,100
7,MSQueue,125,274,235,350,984,1.02,100
8,MSQueue,163,251,202,345,961,1.04,100
9,MSQueue,169,243,202,347,961,1.04,100
10,MSQueue,175,251,198,345,969,1.03,100
11,MSQueue,157,232,188,300,877,1.14,100
12,MSQueue,198,262,189,307,956,1.05,100
13,MSQueue,215,229,202,341,987,1.01,100
14,MSQueue,148,251,180,348,927,1.08,100
15,MSQueue,149,249,170,351,919,1.09,100
16,MSQueue,177,259,189,387,1012,0.99,100
17,MSQueue,167,247,175,349,938,1.07,100
18,MSQueue,183,243,164,333,923,1.08,100
19,MSQueue,237,244,198,286,965,1.04,100
20,MSQueue,235,248,174,337,994,1.01,100
21,MSQueue,170,242,190,323,925,1.08,100
22,MSQueue,181,245,190,333,949,1.05,100
23,MSQueue,183,228,220,353,984,1.02,100
24,MSQueue,161,225,197,334,917,1.09,100
25,MSQueue,157,256,218,372,1003,1.00,100
26,MSQueue,188,254,180,312,934,1.07,100
27,MSQueue,169,233,191,326,919,1.09,100
28,MSQueue,154,245,189,345,933,1.07,100
29,MSQueue,155,241,236,327,959,1.04,100
30,MSQueue,186,237,229,294,946,1.06,100
31,MSQueue,171,238,220,396,1025,0.98,100
32,MSQueue,172,243,212,306,933,1.07,100
33,MSQueue,191,246,196,336,969,1.03,100
34,MSQueue,143,223,157,343,866,1.15,100
35,MSQueue,179,243,218,334,974,1.03,100
36,MSQueue,185,272,188,313,958,1.04,100
37,MSQueue,205,253,185,315,958,1.04,100
38,MSQueue,218,254,230,343,1045,0.96,100
39,MSQueue,183,228,150,350,911,1.10,100
40,MSQueue,211,237,208,436,1092,0.92,100
41,MSQueue,186,245,202,326,959,1.04,100
42,MSQueue,190,260,215,345,1010,0.99,100
43,MSQueue,173,238,200,302,913,1.10,100
44,MSQueue,199,228,205,376,1008,0.99,100
45,MSQueue,145,273,162,352,932,1.07,100
46,MSQueue,182,224,202,318,926,1.08,100
47,MSQueue,158,249,173,337,917,1.09,100
48,MSQueue,178,241,181,283,883,1.13,100
49,MSQueue,141,242,170,367,920,1.09,100
50,MSQueue,146,257,202,344,949,1.05,100
51,MSQueue,282,222,234,343,1081,0.93,100
52,MSQueue,174,253,220,293,940,1.06,100
53,MSQueue,192,265,211,368,1036,0.97,100
54,MSQueue,150,253,187,360,950,1.05,100
55,MSQueue,163,232,224,280,899,1.11,100
56,MSQueue,148,253,229,318,948,1.05,100
57,MSQueue,145,261,227,306,939,1.06,100
58,MSQueue,284,226,293,320,1123,0.89,100
59,MSQueue,187,266,186,348,987,1.01,100
60,MSQueue,155,251,170,384,960,1.04,100
61,MSQueue,166,248,215,299,928,1.08,100
62,MSQueue,169,240,187,281,877,1.14,100
63,MSQueue,162,244,181,363,950,1.05,100
64,MSQueue,244,249,178,385,1056,0.95,100
65,MSQueue,174,255,173,322,924,1.08,100
66,MSQueue,153,257,197,381,988,1.01,100
67,MSQueue,167,240,240,312,959,1.04,100
68,MSQueue,154,220,234,342,950,1.05,100
69,MSQueue,221,243,191,296,951,1.05,100
70,MSQueue,140,283,183,363,969,1.03,100
71,MSQueue,149,261,258,300,968,1.03,100
72,MSQueue,177,237,210,340,964,1.04,100
73,MSQueue,162,249,185,301,897,1.11,100
74,MSQueue,157,262,204,319,942,1.06,100
75,MSQueue,186,220,183,348,937,1.07,100
76,MSQueue,174,227,186,364,951,1.05,100
77,MSQueue,234,236,157,344,971,1.03,100
78,MSQueue,179,242,174,347,942,1.06,100
79,MSQueue,152,284,169,296,901,1.11,100
80,MSQueue,174,259,145,388,966,1.04,100
81,MSQueue,148,243,211,422,1024,0.98,100
82,MSQueue,177,228,215,314,934,1.07,100
83,MSQueue,216,246,230,393,1085,0.92,100
84,MSQueue,138,252,224,309,923,1.08,100
85,MSQueue,148,250,168,355,921,1.09,100
86,MSQueue,189,232,176,358,955,1.05,100
87,MSQueue,230,242,201,303,976,1.02,100
88,MSQueue,163,236,215,370,984,1.02,100
89,MSQueue,147,274,206,362,989,1.01,100
90,MSQueue,201,253,167,340,961,1.04,100
91,MSQueue,221,209,219,332,981,1.02,100
92,MSQueue,154,235,210,385,984,1.02,100
93,MSQueue,210,220,174,353,957,1.04,100
94,MSQueue,185,245,163,385,978,1.02,100
95,MSQueue,218,231,198,347,994,1.01,100
96,MSQueue,176,224,225,279,904,1.11,100
97,MSQueue,141,233,191,361,926,1.08,100
98,MSQueue,158,255,160,355,928,1.08,100
99,MSQueue,175,221,163,324,883,1.13,100
100,MSQueue,143,241,173,333,890,1.12,100
101,Vyukhov MPMC,168,421,103,113,805,1.24,100
102,Vyukhov MPMC,148,142,114,125,529,1.89,100
103,Vyukhov MPMC,199,141,110,99,549,1.82,100
104,Vyukhov MPMC,153,145,115,121,534,1.87,100
105,Vyukhov MPMC,162,143,132,106,543,1.84,100
106,Vyukhov MPMC,184,143,121,100,548,1.82,100
107,Vyukhov MPMC,176,139,106,117,538,1.86,100
108,Vyukhov MPMC,124,148,117,110,499,2.00,100
109,Vyukhov MPMC,174,156,103,101,534,1.87,100
110,Vyukhov MPMC,161,148,123,110,542,1.85,100
111,Vyukhov MPMC,139,141,124,122,526,1.90,100
112,Vyukhov MPMC,198,147,150,111,606,1.65,100
113,Vyukhov MPMC,182,141,119,104,546,1.83,100
114,Vyukhov MPMC,132,139,120,111,502,1.99,100
115,Vyukhov MPMC,132,145,125,112,514,1.95,100
116,Vyukhov MPMC,136,140,132,103,511,1.96,100
117,Vyukhov MPMC,203,140,109,113,565,1.77,100
118,Vyukhov MPMC,192,144,117,129,582,1.72,100
119,Vyukhov MPMC,155,149,110,109,523,1.91,100
120,Vyukhov MPMC,146,143,117,108,514,1.95,100
121,Vyukhov MPMC,149,148,131,104,532,1.88,100
122,Vyukhov MPMC,134,145,143,114,536,1.87,100
123,Vyukhov MPMC,141,164,141,108,554,1.81,100
124,Vyukhov MPMC,169,145,128,118,560,1.79,100
125,Vyukhov MPMC,149,146,118,119,532,1.88,100
126,Vyukhov MPMC,177,152,117,117,563,1.78,100
127,Vyukhov MPMC,168,157,133,110,568,1.76,100
128,Vyukhov MPMC,140,142,110,106,498,2.01,100
129,Vyukhov MPMC,140,152,123,101,516,1.94,100
130,Vyukhov MPMC,164,139,145,119,567,1.76,100
131,Vyukhov MPMC,141,151,110,103,505,1.98,100
132,Vyukhov MPMC,156,156,127,116,555,1.80,100
133,Vyukhov MPMC,138,147,119,119,523,1.91,100
134,Vyukhov MPMC,188,142,115,109,554,1.81,100
135,Vyukhov MPMC,139,137,130,102,508,1.97,100
136,Vyukhov MPMC,175,141,119,107,542,1.85,100
137,Vyukhov MPMC,228,150,115,136,629,1.59,100
138,Vyukhov MPMC,156,143,102,112,513,1.95,100
139,Vyukhov MPMC,179,157,106,122,564,1.77,100
140,Vyukhov MPMC,137,146,120,99,502,1.99,100
141,Vyukhov MPMC,176,147,117,122,562,1.78,100
142,Vyukhov MPMC,142,154,120,120,536,1.87,100
143,Vyukhov MPMC,133,140,113,123,509,1.96,100
144,Vyukhov MPMC,245,148,167,117,677,1.48,100
145,Vyukhov MPMC,127,143,111,104,485,2.06,100
146,Vyukhov MPMC,140,147,122,106,515,1.94,100
147,Vyukhov MPMC,172,137,109,102,520,1.92,100
148,Vyukhov MPMC,130,145,124,107,506,1.98,100
149,Vyukhov MPMC,180,146,110,110,546,1.83,100
150,Vyukhov MPMC,138,149,136,102,525,1.90,100
151,Vyukhov MPMC,127,136,103,106,472,2.12,100
152,Vyukhov MPMC,189,141,125,101,556,1.80,100
153,Vyukhov MPMC,130,137,117,104,488,2.05,100
154,Vyukhov MPMC,183,142,110,103,538,1.86,100
155,Vyukhov MPMC,177,160,140,100,577,1.73,100
156,Vyukhov MPMC,167,137,148,111,563,1.78,100
157,Vyukhov MPMC,166,139,134,104,543,1.84,100
158,Vyukhov MPMC,130,152,127,115,524,1.91,100
159,Vyukhov MPMC,146,147,162,126,581,1.72,100
160,Vyukhov MPMC,175,145,158,114,592,1.69,100
161,Vyukhov MPMC,146,154,105,99,504,1.98,100
162,Vyukhov MPMC,148,162,150,102,562,1.78,100
163,Vyukhov MPMC,138,147,125,102,512,1.95,100
164,Vyukhov MPMC,176,145,120,108,549,1.82,100
165,Vyukhov MPMC,131,143,141,124,539,1.86,100
166,Vyukhov MPMC,134,150,105,102,491,2.04,100
167,Vyukhov MPMC,165,139,129,99,532,1.88,100
168,Vyukhov MPMC,169,160,118,108,555,1.80,100
169,Vyukhov MPMC,156,147,123,102,528,1.89,100
170,Vyukhov MPMC,180,147,111,101,539,1.86,100
171,Vyukhov MPMC,136,145,123,118,522,1.92,100
172,Vyukhov MPMC,160,142,117,117,536,1.87,100
173,Vyukhov MPMC,199,137,121,106,563,1.78,100
174,Vyukhov MPMC,173,151,107,105,536,1.87,100
175,Vyukhov MPMC,171,143,115,103,532,1.88,100
176,Vyukhov MPMC,158,147,128,109,542,1.85,100
177,Vyukhov MPMC,160,143,116,105,524,1.91,100
178,Vyukhov MPMC,180,142,108,101,531,1.88,100
179,Vyukhov MPMC,168,140,122,138,568,1.76,100
180,Vyukhov MPMC,132,141,109,118,500,2.00,100
181,Vyukhov MPMC,178,140,112,103,533,1.88,100
182,Vyukhov MPMC,183,145,109,121,558,1.79,100
183,Vyukhov MPMC,181,141,132,100,554,1.81,100
184,Vyukhov MPMC,147,143,147,102,539,1.86,100
185,Vyukhov MPMC,189,149,133,101,572,1.75,100
186,Vyukhov MPMC,185,145,119,112,561,1.78,100
187,Vyukhov MPMC,173,147,124,104,548,1.82,100
188,Vyukhov MPMC,150,146,114,100,510,1.96,100
189,Vyukhov MPMC,136,165,99,128,528,1.89,100
190,Vyukhov MPMC,226,148,123,112,609,1.64,100
191,Vyukhov MPMC,172,144,112,124,552,1.81,100
192,Vyukhov MPMC,137,146,112,102,497,2.01,100
193,Vyukhov MPMC,173,139,113,102,527,1.90,100
194,Vyukhov MPMC,133,149,120,101,503,1.99,100
195,Vyukhov MPMC,203,140,106,112,561,1.78,100
196,Vyukhov MPMC,121,144,104,101,470,2.13,100
197,Vyukhov MPMC,271,141,120,106,638,1.57,100
198,Vyukhov MPMC,188,150,160,119,617,1.62,100
199,Vyukhov MPMC,285,143,114,112,654,1.53,100
200,Vyukhov MPMC,148,143,152,101,544,1.84,100
201,Folly SPSC,100,98,77,71,346,2.89,100
202,Folly SPSC,102,93,79,61,335,2.99,100
203,Folly SPSC,85,102,94,60,341,2.93,100
204,Folly SPSC,101,99,87,75,362,2.76,100
205,Folly SPSC,123,95,77,55,350,2.86,100
206,Folly SPSC,94,98,89,58,339,2.95,100
207,Folly SPSC,172,98,97,76,443,2.26,100
208,Folly SPSC,94,99,80,57,330,3.03,100
209,Folly SPSC,95,97,86,56,334,2.99,100
210,Folly SPSC,120,98,89,55,362,2.76,100
211,Folly SPSC,90,97,78,54,319,3.13,100
212,Folly SPSC,97,101,71,54,323,3.10,100
213,Folly SPSC,105,101,76,58,340,2.94,100
214,Folly SPSC,99,96,74,50,319,3.13,100
215,Folly SPSC,93,112,84,54,343,2.92,100
216,Folly SPSC,97,98,78,72,345,2.90,100
217,Folly SPSC,92,99,79,51,321,3.12,100
218,Folly SPSC,106,97,67,53,323,3.10,100
219,Folly SPSC,93,98,72,60,323,3.10,100
220,Folly SPSC,90,94,67,58,309,3.24,100
221,Folly SPSC,94,94,81,60,329,3.04,100
222,Folly SPSC,211,89,82,81,463,2.16,100
223,Folly SPSC,100,99,72,56,327,3.06,100
224,Folly SPSC,102,101,64,90,357,2.80,100
225,Folly SPSC,103,93,86,62,344,2.91,100
226,Folly SPSC,123,93,69,59,344,2.91,100
227,Folly SPSC,115,107,73,54,349,2.87,100
228,Folly SPSC,90,103,86,57,336,2.98,100
229,Folly SPSC,87,99,87,62,335,2.99,100
230,Folly SPSC,105,95,78,61,339,2.95,100
231,Folly SPSC,91,98,73,60,322,3.11,100
232,Folly SPSC,102,114,96,57,369,2.71,100
233,Folly SPSC,88,94,65,53,300,3.33,100
234,Folly SPSC,95,96,66,57,314,3.18,100
235,Folly SPSC,186,96,82,73,437,2.29,100
236,Folly SPSC,71,94,85,71,321,3.12,100
237,Folly SPSC,95,98,94,55,342,2.92,100
238,Folly SPSC,101,112,77,54,344,2.91,100
239,Folly SPSC,141,100,71,53,365,2.74,100
240,Folly SPSC,110,98,84,54,346,2.89,100
241,Folly SPSC,97,98,75,66,336,2.98,100
242,Folly SPSC,114,98,68,53,333,3.00,100
243,Folly SPSC,89,370,106,65,630,1.59,100
244,Folly SPSC,77,98,68,48,291,3.44,100
245,Folly SPSC,95,94,91,57,337,2.97,100
246,Folly SPSC,92,96,73,56,317,3.15,100
247,Folly SPSC,77,99,80,60,316,3.16,100
248,Folly SPSC,182,94,86,71,433,2.31,100
249,Folly SPSC,119,94,59,58,330,3.03,100
250,Folly SPSC,111,98,75,54,338,2.96,100
251,Folly SPSC,99,96,108,55,358,2.79,100
252,Folly SPSC,120,101,85,57,363,2.75,100
253,Folly SPSC,98,111,69,59,337,2.97,100
254,Folly SPSC,170,100,80,78,428,2.34,100
255,Folly SPSC,125,97,88,57,367,2.72,100
256,Folly SPSC,78,100,78,54,310,3.23,100
257,Folly SPSC,99,110,75,54,338,2.96,100
258,Folly SPSC,89,99,71,70,329,3.04,100
259,Folly SPSC,101,102,81,54,338,2.96,100
260,Folly SPSC,123,110,74,60,367,2.72,100
261,Folly SPSC,95,101,79,55,330,3.03,100
262,Folly SPSC,106,96,84,71,357,2.80,100
263,Folly SPSC,118,97,72,54,341,2.93,100
264,Folly SPSC,102,96,85,61,344,2.91,100
265,Folly SPSC,100,97,89,54,340,2.94,100
266,Folly SPSC,122,101,101,56,380,2.63,100
267,Folly SPSC,96,95,59,58,308,3.25,100
268,Folly SPSC,99,97,78,51,325,3.08,100
269,Folly SPSC,98,97,79,49,323,3.10,100
270,Folly SPSC,109,93,81,61,344,2.91,100
271,Folly SPSC,165,97,86,66,414,2.42,100
272,Folly SPSC,117,101,90,59,367,2.72,100
273,Folly SPSC,91,105,81,58,335,2.99,100
274,Folly SPSC,108,97,81,53,339,2.95,100
275,Folly SPSC,98,103,93,56,350,2.86,100
